Gene ID	Gene Symbol	Genome	Species	Gene Name	Functional Descriptions	function-related-keywords	literature	Related News	NCBI ID	UniProt accessions	Orthologs	CDS Sequence	Protein Sequence	Title
TraesCS5B02G312200	CBF-B12	Chinese_Spring1.0	Triticum aestivum		['Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat', 'Copy number variation (CNV) of CBF (C-repeat Binding Factor) genes at the Fr-A2 locus is the essential component for winter survival, with CBF-A14 CNV being the most likely causal polymorphism, accounting for 24.3% of the genotypic variance.', 'CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat.']	['winter-hardiness']	['Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat.', '10.1111/tpj.13424', '27859852']	[]		A0MPK1		CDS Sequence:	Protein Sequence:	CBF-B12
TraesCS5D02G318500	CBF-D12	Chinese_Spring1.0	Triticum aestivum		['Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat', 'Copy number variation (CNV) of CBF (C-repeat Binding Factor) genes at the Fr-A2 locus is the essential component for winter survival, with CBF-A14 CNV being the most likely causal polymorphism, accounting for 24.3% of the genotypic variance.', 'CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat.']	['winter-hardiness']	['Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat.', '10.1111/tpj.13424', '27859852']	[]		W8W3S9		CDS Sequence:	Protein Sequence:	CBF-D12
TraesCS1A02G010500	Csl-1A	Chinese_Spring1.0	Triticum aestivum		['Dinucleotide repeat-length polymorphism in the 5′UTR region of the Csl gene was associated with tiller number in diverse wheat germplasm and linked to expression differences of Csl transcripts between NILs.', 'We propose that regulation of Csl transcript and/or protein levels affects carbon partitioning throughout the plant, which plays a key role in the tin phenotype.', 'Csl transcript and/or protein levels alters carbon partitioning throughout the plant, preventing tiller-bud outgrowth and resulting in increased lignification and strength of stems in tin plants.', 'A candidate gene for tin was identified through map-based cloning and was predicted to encode a cellulose synthase-like (Csl) protein with homology to members of the CslA clade.', 'Dinucleotide repeat-length polymorphism in the 5 UTR region of the Csl gene was associated with tiller number in diverse wheat germplasm and linked to expression differences of Csl transcripts between NILs.']	['tiller', 'stems', 'map-based-cloning', 'cellulose', 'tiller-number', 'tiller-bud-outgrowth']	['Repeat-length variation in a wheat cellulose synthase-like gene is associated with altered tiller number and stem cell wall composition.', '10.1093/jxb/erx051', '28369427']	[]		A0A3B5XTD6		CDS Sequence:	Protein Sequence:	Csl-1A
	CSLF6		Triticum aestivum		['Down-Regulation of the CSLF6 Gene Results in Decreased (1,3|1,4)-β-D-Glucan in Endosperm of Wheat.', 'Bioinformatic and array analyses of gene expression profiles in developing caryopses identified the CELLULOSE SYNTHASE-LIKE F6 (CSLF6) gene as encoding a putative β-glucan synthase.', 'RNA interference constructs were therefore designed to down-regulate CSLF6 gene expression and expressed in transgenic wheat under the control of a starchy endosperm-specific HMW subunit gene promoter.', 'The results confirm that the CSLF6 gene of wheat encodes a β-glucan synthase and indicate that transgenic manipulation can be used to enhance the health benefits of wheat products.']	['cellulose', 'endosperm']	['Down-regulation of the CSLF6 gene results in decreased (1,3;1,4)-beta-D-glucan in endosperm of wheat.', '10.1104/pp.109.151712', '20089768']	[]	AM743080.1	A6Q0E9	[]	CDS Sequence:	Protein Sequence:	CSLF6
	cZOGT1		Triticum aestivum		['Wheat cis-zeatin-O-glucosyltransferase cZOGT1 interacts with the Ca2+-dependent lipid binding protein TaZIP to regulate senescence.', 'Previously, we found that the cis-zeatin-O-glucosyltransferase (cZOGT1) gene plays an important role in the stay-green wheat phenotype.', 'cZOGT1-overexpressing lines exhibited a delayed senescence phenotype, despite a significant reduction in the total cytokinin content.', 'cZOGT1 plays a complex role in regulating the senescence phenotype in wheat.']	['senescence', 'cytokinin', 'glucosyltransferase', 'protein']	['Wheat cis-zeatin-O-glucosyltransferase cZOGT1 interacts with the Ca2+-dependent lipid binding protein TaZIP to regulate senescence.', '10.1093/jxb/erad346', '37668322']	[]	XM_037630867		[]	CDS Sequence:	Protein Sequence:	cZOGT1
TraesCS1D02G020000	DRG1	Chinese_Spring1.0	Triticum aestivum		['A Glu209Lys substitution in DRG1/TaACT7, which disturbs F-actin organization, reduces plant height and grain length in bread wheat.', 'DRG1-D mutant plants exhibit multiple phenotypic changes, including dwarfism, round grains, and insensitivity to brassinosteroids (BR).', 'DRG1/TaACT7 encodes an actin family protein that is essential for polymerization stability and microfilament (MF) formation.', 'DRG1/TaACT7 plays an important role in wheat cell shape determination by modulating actin organization and intracellular material transport', 'DRG1-D affects the BR response.']	['grain', 'grain-length', 'br', 'height', 'plant-height', 'grain-shape', 'grain-protein', 'actin-protein']	['A Glu209Lys substitution in DRG1/TaACT7, which disturbs F-actin organization, reduces plant height and grain length in bread wheat.', '10.1111/nph.19246', '37668262']	[]		Q5EWZ1		CDS Sequence:	Protein Sequence:	DRG1
TraesCS1A02G314200	DUO-A1	Chinese_Spring1.0	Triticum aestivum		['DUO-A1 promotes spike inflorescence architecture.', 'DUO-A1 promotes mild supernumerary spikelets.', 'DUO-A1 promotes grain number per spike.']	['grain', 'grain-number', 'inflorescence', 'architecture', 'inflorescence-architecture', 'spike']	['Improving bread wheat yield through modulating an unselected AP2/ERF gene.', '10.1038/s41477-022-01197-9', '35851621']	[]		A0A3B5Y4K6		CDS Sequence:	Protein Sequence:	DUO-A1
TraesCS1B02G326500	DUO-B1	Chinese_Spring1.0	Triticum aestivum		['DUO-B1 suppresses cell division and promotes the expression of BHt/WFZP, whose mutations could lead to branched ‘miracle-wheat’.', 'Mutations of DUO-B1 lead to mild supernumerary spikelets, increased grain number per spike and, importantly, increased yield under field conditions without affecting other major agronomic traits.', 'Using Brachypodium distachyon as a wheat proxy, we identified DUO-B1, encoding an APETALA2-ethylene response factor (AP2-ERF) transcription factor, regulating spike inflorescence architecture in bread wheat.', 'DUO-B1 suppresses cell division and promotes the expression of BHt-WFZP, whose mutations could lead to branched miracle-wheat.']	['transcription-factor', 'grain', 'grain-number', 'grain-yield', 'yield', 'cell-division', 'ethylene', 'inflorescence', 'architecture', 'inflorescence-architecture', 'ethylene-response', 'spike']	['Improving bread wheat yield through modulating an unselected AP2/ERF gene.', '10.1038/s41477-022-01197-9', '35851621']	[]		A0A3B5Z1A5		CDS Sequence:	Protein Sequence:	DUO-B1
TraesCS1D02G314700	DUO-D1	Chinese_Spring1.0	Triticum aestivum		['DUO-D1 promotes spike inflorescence architecture.', 'DUO-D1 promotes mild supernumerary spikelets.', 'DUO-D1 promotes grain number per spike.']	['grain', 'grain-number', 'inflorescence', 'architecture', 'inflorescence-architecture', 'spike']	['Improving bread wheat yield through modulating an unselected AP2/ERF gene.', '10.1038/s41477-022-01197-9', '35851621']	[]		A0A3B5ZYF2		CDS Sequence:	Protein Sequence:	DUO-D1
TraesCS3B02G019900	Fhb1	Chinese_Spring1.0	Triticum aestivum		['Isolated the major-effect wheat quantitative trait locus, Qfhs.njau-3B, which confers head blight resistance, and showed that it is the same as the previously designated Fhb1.', 'Fhb1 could be useful not only for curbing Fusarium head blight in grain crops but also for improving other plants vulnerable to Fusarium species.', 'Both wheat and Arabidopsis transformed with the Fhb1 sequence showed enhanced resistance to Fusarium graminearum spread.', 'Fhb1 results from a rare deletion involving the 3 exon of the histidine-rich calcium-binding-protein gene on chromosome 3BS. Both wheat and Arabidopsis transformed with the Fhb1 sequence showed enhanced resistance to Fusarium graminearum spread.']	['grain', 'resistance', 'blight', 'calcium', 'grain-protein']	['Mutation of a histidine-rich calcium-binding-protein gene in wheat confers resistance to Fusarium head blight.', '10.1038/s41588-019-0426-7', '31182810']	[]		D8L9U3		CDS Sequence:	Protein Sequence:	Fhb1;TaHRC
Tel7E01T1020600	Fhb7	Chinese_Spring1.0	Triticum aestivum		['Fhb7, a gene transferred from Thinopyrum to wheat, showed a stable large effect on FHB resistance.', 'Fhb7 from fungus underlies Fusarium head blight resistance in wheat.', 'Horizontal gene transfer of Fhb7 from fungus underlies Fusarium head blight resistance in wheat.']	['resistance', 'blight']	['Horizontal gene transfer of Fhb7 from fungus underlies Fusarium head blight resistance in wheat.', '10.1126/science.aba5435', '32273397']	[]				CDS Sequence:	Protein Sequence:	Fhb7
TraesCS7A02G115400	FT-A1	Chinese_Spring1.0	Triticum aestivum		['We show that in these species, the vernalization gene VRN3 is linked completely to a gene similar to Arabidopsis FLOWERING LOCUS T (FT).', 'These results confirmed that the wheat and barley FT genes are responsible for natural allelic variation in vernalization requirement', 'FT induction in the leaves results in a transmissible signal that travels through the phloem to the apex, where it induces flowering', 'Winter wheat plants transformed with the TaFT allele carrying the promoter retroelement insertion flowered significantly earlier than nontransgenic plants, supporting the identity between TaFT and VRN-B3.']	['phloem', 'flowering', 'vernalization']	['The wheat and barley vernalization gene VRN3 is an orthologue of FT.', '10.1073/pnas.0607142103', '17158798']	[]				CDS Sequence:	Protein Sequence:	FT-A1
TraesCS3A02G143100	FT-A2	Chinese_Spring1.0	Triticum aestivum		['A previous study showed that loss-of-function mutations in FLOWERING LOCUS T2 (FT2) increase spikelet number per spike (SNS), an important grain yield component.', 'We discovered a natural FT-A2 allele that increases grain number per spike in both pasta and bread wheat with limited effect on heading time.', 'FT-A2 A10 allele may be particularly useful for improving grain yield in durum wheat and fall-planted common wheat varieties.', 'FT-A2 effects on SNS, GNS, grain weight and spike yield.', 'Identification and characterization of a natural polymorphism in FT-A2 associated with increased number of grains per spike in wheat.']	['spikelet', 'grain', 'grain-number', 'grain-yield', 'yield', 'spikelet-number', 'grain-weight', 'flowering-time', 'flowering', 'heading-time', 'spike']	['Identification and characterization of a natural polymorphism in FT-A2 associated with increased number of grains per spike in wheat.', '10.1007/s00122-021-03992-y', '34825926']	[]		A0A3B6EF24		CDS Sequence:	Protein Sequence:	FT-A2
TraesCS7B02G013100	FT-B1	Chinese_Spring1.0	Triticum aestivum		['Linkage mapping identifies a non-synonymous mutation in FLOWERING LOCUS T (FT-B1) increasing spikelet number per spike.', 'The gene FLOWERING LOCUS T (FT-B1) emerged as candidate for the observed effect. In one of the parental lines, FT-B1 carried a non-synonymous substitution on position 19 of the coding sequence.', 'FT-B1 only showed a minor effect on heading and flowering time (FT) which were dominated by a major QTL on chromosome 5A caused by segregation of the vernalization gene VRN-A1.', 'Individuals carrying the FT-B1 allele with amino acid histidine had, on average, a higher number of spikelets (15.1) than individuals with the aspartic acid allele (14.3) independent of their VRN-A1 allele.', 'Zebularine treatment is associated with deletion of FT-B1 leading to an increase in spikelet number in bread wheat.']	['spikelet', 'spikelet-number', 'flowering-time', 'flowering', 'vernalization', 'heading-time', 'spike']	['Linkage mapping identifies a non-synonymous mutation in FLOWERING LOCUS T (FT-B1) increasing spikelet number per spike.', '10.1038/s41598-020-80473-0', '33452357', 'Zebularine treatment is associated with deletion of FT-B1 leading to an increase in spikelet number in bread wheat.', '10.1111/pce.13487', '30653686']	[]				CDS Sequence:	Protein Sequence:	FT-B1
TraesCS3B02G162000	FT-B2	Chinese_Spring1.0	Triticum aestivum		['A previous study showed that loss-of-function mutations in FLOWERING LOCUS T2 (FT2) increase spikelet number per spike (SNS), an important grain yield component.', 'We discovered a natural FT-A2 allele that increases grain number per spike in both pasta and bread wheat with limited effect on heading time.', 'FT-A2 A10 allele may be particularly useful for improving grain yield in durum wheat and fall-planted common wheat varieties.', 'FT-A2 effects on SNS, GNS, grain weight and spike yield.', 'Identification and characterization of a natural polymorphism in FT-A2 associated with increased number of grains per spike in wheat.']	['spikelet', 'grain', 'grain-number', 'grain-yield', 'yield', 'spikelet-number', 'grain-weight', 'flowering-time', 'flowering', 'heading-time', 'spike']	['Identification and characterization of a natural polymorphism in FT-A2 associated with increased number of grains per spike in wheat.', '10.1007/s00122-021-03992-y', '34825926']	[]		A0A3B6FN20		CDS Sequence:	Protein Sequence:	FT-B2
TraesCS7D02G111600	FT-D1	Chinese_Spring1.0	Triticum aestivum		['We show that in these species, the vernalization gene VRN3 is linked completely to a gene similar to Arabidopsis FLOWERING LOCUS T (FT).', 'These results confirmed that the wheat and barley FT genes are responsible for natural allelic variation in vernalization requirement', 'FT induction in the leaves results in a transmissible signal that travels through the phloem to the apex, where it induces flowering', 'Winter wheat plants transformed with the TaFT allele carrying the promoter retroelement insertion flowered significantly earlier than nontransgenic plants, supporting the identity between TaFT and VRN-B3.', 'A single nucleotide deletion in the third exon of FT-D1 increases the spikelet number and delays heading date in wheat.']	['phloem', 'flowering', 'vernalization']	['The wheat and barley vernalization gene VRN3 is an orthologue of FT.', '10.1073/pnas.0607142103', '17158798', 'A single nucleotide deletion in the third exon of FT-D1 increases the spikelet number and delays heading date in wheat.', '10.1111/pbi.13773', '34978137']	[]		B1B5D6		CDS Sequence:	Protein Sequence:	FT-D1
TraesCS3D02G144500	FT-D2	Chinese_Spring1.0	Triticum aestivum		['A previous study showed that loss-of-function mutations in FLOWERING LOCUS T2 (FT2) increase spikelet number per spike (SNS), an important grain yield component.', 'We discovered a natural FT-A2 allele that increases grain number per spike in both pasta and bread wheat with limited effect on heading time.', 'FT-A2 A10 allele may be particularly useful for improving grain yield in durum wheat and fall-planted common wheat varieties.', 'FT-A2 effects on SNS, GNS, grain weight and spike yield.', 'Identification and characterization of a natural polymorphism in FT-A2 associated with increased number of grains per spike in wheat.']	['spikelet', 'grain', 'grain-number', 'grain-yield', 'yield', 'spikelet-number', 'grain-weight', 'flowering-time', 'flowering', 'heading-time', 'spike']	['Identification and characterization of a natural polymorphism in FT-A2 associated with increased number of grains per spike in wheat.', '10.1007/s00122-021-03992-y', '34825926']	[]				CDS Sequence:	Protein Sequence:	FT-D2
TraesCS2A02G261200	FUL2-2A	Chinese_Spring1.0	Triticum aestivum		['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', 'MADS-box genes VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet and spike development, and also affect flowering time and plant height.', 'In the vrn1ful2ful3-null triple mutant, the inflorescence meristem formed a normal double-ridge structure, but then the lateral meristems generated vegetative tillers subtended by leaves instead of spikelets.', 'The ful2-null mutant showed more florets per spikelet, which together with a higher number of spikelets, resulted in a significant increase in the number of grains per spike in the field.', 'Inflorescence meristems of vrn1ful2ful3-null and vrn1ful2-null remained indeterminate and single vrn1-null and ful2-null mutants showed delayed formation of the terminal spikelet and increased number of spikelets per spike.']	['development', 'spikelet', 'plant-development', 'vegetative', 'meristem', 'spikelet-meristem', 'inflorescence', 'spikelet-number', 'height', 'plant-height', 'flowering-time', 'spikelet-development', 'flowering', 'inflorescence-development', 'spike', 'tillers']	['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', '10.1242/dev.175398', '31337701']	[]		A0A3B6AZ67		CDS Sequence:	Protein Sequence:	FUL2-2A
TraesCS2B02G281000	FUL2-2B	Chinese_Spring1.0	Triticum aestivum		['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', 'MADS-box genes VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet and spike development, and also affect flowering time and plant height.', 'In the vrn1ful2ful3-null triple mutant, the inflorescence meristem formed a normal double-ridge structure, but then the lateral meristems generated vegetative tillers subtended by leaves instead of spikelets.', 'The ful2-null mutant showed more florets per spikelet, which together with a higher number of spikelets, resulted in a significant increase in the number of grains per spike in the field.', 'Inflorescence meristems of vrn1ful2ful3-null and vrn1ful2-null remained indeterminate and single vrn1-null and ful2-null mutants showed delayed formation of the terminal spikelet and increased number of spikelets per spike.']	['development', 'spikelet', 'plant-development', 'vegetative', 'meristem', 'spikelet-meristem', 'inflorescence', 'spikelet-number', 'height', 'plant-height', 'flowering-time', 'spikelet-development', 'flowering', 'inflorescence-development', 'spike', 'tillers']	['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', '10.1242/dev.175398', '31337701']	[]		A0A3B6C5R7		CDS Sequence:	Protein Sequence:	FUL2-2B
TraesCS2D02G262700	FUL2-2D	Chinese_Spring1.0	Triticum aestivum		['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', 'MADS-box genes VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet and spike development, and also affect flowering time and plant height.', 'In the vrn1ful2ful3-null triple mutant, the inflorescence meristem formed a normal double-ridge structure, but then the lateral meristems generated vegetative tillers subtended by leaves instead of spikelets.', 'The ful2-null mutant showed more florets per spikelet, which together with a higher number of spikelets, resulted in a significant increase in the number of grains per spike in the field.', 'Inflorescence meristems of vrn1ful2ful3-null and vrn1ful2-null remained indeterminate and single vrn1-null and ful2-null mutants showed delayed formation of the terminal spikelet and increased number of spikelets per spike.']	['development', 'spikelet', 'plant-development', 'vegetative', 'meristem', 'spikelet-meristem', 'inflorescence', 'spikelet-number', 'height', 'plant-height', 'flowering-time', 'spikelet-development', 'flowering', 'inflorescence-development', 'spike', 'tillers']	['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', '10.1242/dev.175398', '31337701']	[]		https://www.uniprot.org/uniprotkb/A0A3B6DFY6		CDS Sequence:	Protein Sequence:	FUL2-2D
TraesCS2A02G174300	FUL3-2A	Chinese_Spring1.0	Triticum aestivum		['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', 'MADS-box genes VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet and spike development, and also affect flowering time and plant height.', 'In the vrn1ful2ful3-null triple mutant, the inflorescence meristem formed a normal double-ridge structure, but then the lateral meristems generated vegetative tillers subtended by leaves instead of spikelets.', 'The ful2-null mutant showed more florets per spikelet, which together with a higher number of spikelets, resulted in a significant increase in the number of grains per spike in the field.', 'Inflorescence meristems of vrn1ful2ful3-null and vrn1ful2-null remained indeterminate and single vrn1-null and ful2-null mutants showed delayed formation of the terminal spikelet and increased number of spikelets per spike.']	['development', 'spikelet', 'plant-development', 'vegetative', 'meristem', 'spikelet-meristem', 'inflorescence', 'spikelet-number', 'height', 'plant-height', 'flowering-time', 'spikelet-development', 'flowering', 'inflorescence-development', 'spike', 'tillers']	['Wheat VRN1, FUL2 and FUL3 play critical and redundant roles in spikelet development and spike determinacy.', '10.1242/dev.175398', '31337701']	[]		A0A3B6AVX1		CDS Sequence:	Protein Sequence:	FUL3-2A
